Quote Request ID,Customer,Product Type,Quantity,Application,Quality Standard,Priority,Delivery Required,Special Requirements,Material Formulation,Material Cost (₹/kg),Weight per Unit (kg),UL94 Rating,Compliance,Machine,Production Rate,Setup Time (hours),Inspection Standard,Quality Level,Risk Level
QR034,FastTrack Ltd,widget_d,300,aerospace_connector_boot,ASTM_D2562,normal,2026-04-27,Standard quality,ABS General Purpose,120,0.38,V-2,FDA ✓,M2,18,2.3,ASTM_D2562,ACCEPTABLE,Low
QR035,SmartWire Ltd,widget_d,25,electrical_cable_insulation,ASTM_D3951,critical,2026-03-12,Rush order UL94 V-0,PVC K67 based,67,0.77,5VA,RoHS ✓ REACH ✓ UL ✓,M3,8,2.5,ISO_3951,EXCELLENT,High
QR036,Elite Manufacturing,widget_c,100,hvac_component_housing,ASTM_D2562,normal,2026-03-29,Color matching required,TPE Thermoplastic,157,0.51,V-1,REACH ✓ FDA ✓,M2,12,2.1,ISO_2859,GOOD,Low
QR037,Innovation Corp,widget_a,50,electronics_housing,ASTM_D2562,critical,2026-03-22,Anti-static properties,PS High Impact,91,0.8,V-1,RoHS ✓ REACH ✓ UL ✓,M5,10,1.9,ISO_2859,EXCELLENT,High
QR038,SmartWire Ltd,widget_a,50,power_distribution_box,ISO_3951,low,2026-04-10,Automotive grade,PP Copolymer,108,0.42,V-2,RoHS ✓ REACH ✓,M4,20,1.4,ASTM_D2562,ACCEPTABLE,Low
QR039,Quantum Materials,widget_e,500,control_panel_enclosure,ASTM_D2562,normal,2026-03-20,Medical grade certification,HDPE High Density,73,0.48,HB,RoHS ✓ REACH ✓ UL ✓,M3,18,1.6,MIL_STD_105E,GOOD,Low
QR040,Precision Electronics,widget_e,750,automotive_wire_harness,ISO_3951,low,2026-02-24,Chemical resistance verified,Nylon 6 Reinforced,180,0.36,HB,UL ✓ CSA ✓,M5,8,1.4,ISO_3951,ACCEPTABLE,Low
QR041,NextGen Products,widget_e,75,power_distribution_box,ASTM_D2562,normal,2026-03-03,Long-term UV stability,Nylon 6 Reinforced,207,0.48,5VA,REACH ✓ FDA ✓,M1,12,1.7,ASTM_D3951,ACCEPTABLE,Low
QR042,Global Manufacturing,widget_e,50,cable_insulation,ISO_2859,high,2026-05-04,Standard quality,ABS General Purpose,147,0.57,V-1,RoHS ✓ REACH ✓,M5,20,1.6,ASTM_D2562,EXCELLENT,Medium
QR043,PowerCable Co,widget_a,75,medical_device_housing,ISO_2859,high,2026-03-11,Building code compliance,HDPE High Density,90,0.66,V-1,MIL-SPEC ✓,M1,15,0.8,ASTM_D3951,GOOD,Low
QR044,Elite Manufacturing,widget_d,750,flame_retardant_conduit,MIL_STD_105E,high,2026-04-06,UV resistant coating,PET Engineering Grade,126,0.57,V-0,RoHS ✓ REACH ✓,M4,15,1.4,ISO_3951,EXCELLENT,Medium
QR045,ProTech Systems,widget_e,200,automotive_wire_harness,ASTM_D3951,normal,2026-03-19,FDA approved material,POM Acetal Copolymer,194,0.36,V-0,REACH ✓ FDA ✓,M3,20,1.7,ASTM_D2562,GOOD,Low
QR046,NextGen Products,widget_a,150,aerospace_connector_boot,ISO_2859,normal,2026-05-25,Military specification,PC/ABS Blend,128,0.45,V-0,FDA ✓,M4,10,2.1,MIL_STD_105E,GOOD,Low
QR047,SafetyFirst Manufacturing,widget_d,1000,automotive_wire_harness,ASTM_D2562,high,2026-04-01,Rush order UL94 V-0,Nylon 6 Reinforced,181,0.56,V-1,MIL-SPEC ✓,M4,8,1.9,ISO_3951,GOOD,Low
QR048,SafetyFirst Manufacturing,widget_b,200,control_panel_enclosure,ISO_2859,high,2026-05-13,Standard quality,PVC K67 based,66,0.32,HB,UL ✓ CSA ✓,M4,8,1.3,ASTM_D3951,EXCELLENT,Medium
QR049,NextGen Products,widget_d,75,hvac_component_housing,MIL_STD_105E,normal,2026-03-25,UV resistant coating,TPE Thermoplastic,126,0.31,V-2,RoHS ✓,M5,18,1.4,ASTM_D3951,ACCEPTABLE,Low
QR050,TechStart Inc,widget_e,75,industrial_connector,MIL_STD_105E,critical,2026-03-04,Military specification,PP Homopolymer,107,0.71,HB,REACH ✓ FDA ✓,M1,12,1.9,ISO_3951,PREMIUM,High
