Batch ID,Product Type,Quantity,Inspection Standard,Defects Found,Measurements,Visual Inspection,Special Requirements
BATCH040,widget_b,600,MIL_STD_105E,minor_oxidation:minor:4,"length_mm:100.8,width_mm:50.2,thickness_mm:4.93",No major defects observed,Military specification
BATCH041,widget_a,800,ASTM_D2562,minor_mark:minor:3,"length_mm:98.7,width_mm:50.3,thickness_mm:4.91",Standard appearance,High reliability required
BATCH042,widget_a,300,ISO_3951,none,"length_mm:100.5,width_mm:49.6,thickness_mm:5.21",Standard appearance,FDA compliance required
BATCH043,widget_a,750,ASTM_D3951,none,"length_mm:101.3,width_mm:50.4,thickness_mm:4.81",Slight surface variations,Enhanced quality control
BATCH044,widget_a,750,ISO_3951,slight_discoloration:minor:3,"length_mm:98.1,width_mm:50.7,thickness_mm:5.15",Minor dimensional variations,Critical application
BATCH045,widget_c,800,ASTM_D2562,"edge_roughness:minor:4,weld_line:major:3","length_mm:99.1,width_mm:50.0,thickness_mm:5.04",Standard appearance,Export grade
BATCH046,widget_b,600,ASTM_D3951,minor_oxidation:minor:5,"length_mm:99.7,width_mm:50.0,thickness_mm:5.11",Minor color inconsistency noted,Standard inspection
BATCH047,widget_b,600,MIL_STD_105E,color_variation:minor:5,"length_mm:99.8,width_mm:50.2,thickness_mm:4.99",Slight surface variations,Premium customer order
BATCH048,widget_a,1000,MIL_STD_105E,"inclusion:major:2,crack:critical:2,tiny_pit:minor:2","length_mm:102.0,width_mm:49.7,thickness_mm:5.03",Critical issues noted,Requires immediate review
BATCH049,widget_c,600,ISO_3951,none,"length_mm:102.3,width_mm:50.0,thickness_mm:5.13",Minor dimensional variations,Electrical safety critical
BATCH050,widget_a,400,ISO_3951,color_variation:minor:2,"length_mm:98.9,width_mm:50.1,thickness_mm:4.83",High quality finish,Requires immediate review
